,logFC,AveExpr,t,P.Value,adj.P.Val,B,Mean_NT,Mean_Pcsk9,log2FC_Pcsk9_vs_NT
Usp21,-0.18942981,3.182458463,-1.435167497,0.174060781,0.519919001,-5.059089808,8.832140667,7.7453656,-0.18942981
Borcs6,-0.189431396,2.78265682,-1.066678917,0.304871211,0.64630671,-5.473711054,6.650500333,5.8321648,-0.189431396
Ralbp1,-0.189555043,3.973986615,-1.451879167,0.169437458,0.51411337,-5.038117694,16.35623,14.3423876,-0.189555043
Cltc,-0.189558859,5.563619602,-1.259049125,0.229404506,0.581746144,-5.269121171,50.4006,44.194966,-0.189558859
Ehd3,-0.18957524,4.473409834,-0.739430039,0.472341943,0.763189043,-5.754433365,24.89541767,21.8298918,-0.18957524
Aff4,-0.189657912,3.888839768,-1.39883984,0.184473249,0.533002974,-5.10407437,15.426421,13.5260958,-0.189657912
Zfp35,-0.189671882,2.911520303,-1.426305403,0.176554802,0.522903778,-5.070140535,7.069748,6.1987912,-0.189671882
Guk1,-0.189758848,4.984864948,-2.101535551,0.054943607,0.359786477,-4.108376762,35.09408,30.768814,-0.189758848
Gm36251,-0.18982494,2.025866914,-1.187413083,0.255591938,0.608783934,-5.348482705,2.986580667,2.6183714,-0.18982494
Nptn,-0.18993216,4.15117865,-1.673799278,0.117231509,0.450278839,-4.744038317,18.32501,16.064564,-0.18993216
Vasp,-0.189969511,4.129423844,-0.905345697,0.381198057,0.704234163,-5.623290009,19.57276,17.157956,-0.189969511
Setdb1,-0.189971255,3.299654828,-1.991049156,0.067167628,0.379898486,-4.279962191,9.302555667,8.154836,-0.189971255
Dus3l,-0.189998469,4.461422791,-1.719722962,0.108373087,0.438610404,-4.679809548,22.25632667,19.510044,-0.189998469
Fam126b,-0.190018693,2.515117496,-0.985245504,0.341878685,0.675873252,-5.551834372,5.152951,4.5170478,-0.190018693
Ethe1,-0.190022286,5.364061634,-1.244800431,0.23443726,0.586954038,-5.285196841,43.25264,37.914926,-0.190022286
Cep43,-0.190030977,3.420914686,-1.262729198,0.228118682,0.580740199,-5.264946149,10.35996067,9.0814058,-0.190030977
1700037H04Rik,-0.190034832,2.58084607,-0.851818761,0.409210811,0.721843734,-5.668187641,5.543593667,4.8594286,-0.190034832
Fryl,-0.190073575,2.171761172,-0.803648319,0.435559682,0.739286236,-5.706501717,3.992711667,3.4998554,-0.190073575
Hsd17b13,-0.190137795,8.321350327,-1.627448932,0.126807665,0.460272873,-4.807743993,334.5940667,293.27906,-0.190137795
Rfxap,-0.190203803,3.860689933,-0.957571503,0.355158779,0.685900623,-5.577176027,14.74085667,12.920094,-0.190203803
Zranb2,-0.190213236,3.870883876,-2.100078119,0.055090499,0.359786477,-4.110669194,13.45338467,11.791571,-0.190213236
Mknk2,-0.190323804,6.308075286,-1.240296282,0.236046171,0.58928428,-5.290248828,91.71711667,80.381706,-0.190323804
Nme6,-0.190338591,4.130215813,-1.173954213,0.260761581,0.612817817,-5.362980842,19.24132333,16.863096,-0.190338591
Tram1,-0.190347504,6.815601615,-2.277172951,0.039687256,0.328444289,-3.826987525,119.8759467,105.058632,-0.190347504
Rsrc2,-0.190348958,3.315720469,-1.809812506,0.092695474,0.417866352,-4.550758094,9.821651,8.6076332,-0.190348958
Zbtb12,-0.19037407,2.878573567,-1.019887107,0.325759247,0.662524225,-5.519242745,7.477315,6.5529578,-0.19037407
Nlk,-0.190460569,2.75289094,-1.178884366,0.258858592,0.611071881,-5.357685355,5.990631,5.2497452,-0.190460569
C4b,-0.190508097,9.954034577,-0.97769298,0.34546741,0.679393444,-5.558811989,1096.195067,960.5925,-0.190508097
Arhgef12,-0.190586802,4.712771018,-1.043393032,0.315139446,0.653103216,-5.496584569,28.09481,24.618056,-0.190586802
Akap8l,-0.190599581,5.155869444,-1.657855497,0.120451898,0.453019824,-4.766081092,35.16658667,30.814422,-0.190599581
Ehbp1,-0.190684092,2.353226815,-1.275820413,0.223590921,0.576110501,-5.250017882,4.645175,4.0700566,-0.190684092
Asah1,-0.190757813,4.390254482,-1.190093712,0.254571827,0.607368217,-5.345579311,22.22387333,19.471344,-0.190757813
Arhgdia,-0.190824274,6.851259779,-1.554463573,0.143259118,0.482652004,-4.905676234,127.6167733,111.805696,-0.190824274
Vma21,-0.190827491,3.341326414,-1.914825667,0.077004231,0.395936471,-4.395565588,9.486406,8.3110694,-0.190827491
Phf1,-0.190851823,4.505118629,-1.40948812,0.181369158,0.528770227,-5.090975189,24.99198333,21.895184,-0.190851823
Ubxn2a,-0.190860452,4.391564358,-1.532537757,0.148545285,0.488339756,-4.934506676,21.65835733,18.9745198,-0.190860452
Ifit3,-0.190977337,3.496153522,-0.605731546,0.554767511,0.80981134,-5.842349291,10.62505033,9.3076724,-0.190977337
Naa30,-0.190984951,3.192529129,-2.013858398,0.06445585,0.375710105,-4.244915984,8.917515,7.8118096,-0.190984951
Nvl,-0.191032114,2.216267322,-1.15918716,0.266526011,0.61742693,-5.378735352,3.977876333,3.4845354,-0.191032114
Vapa,-0.191089495,6.555047797,-2.763946511,0.015675801,0.269264036,-3.006436773,99.48136,87.140098,-0.191089495
Usp25,-0.191097731,4.108859594,-1.333333717,0.20454316,0.557024018,-5.1830425,17.95445967,15.727011,-0.191097731
Supt6,-0.191117641,4.659658544,-1.17354615,0.260919571,0.612894453,-5.363418346,27.59344,24.169836,-0.191117641
Cgnl1,-0.191125288,5.057258342,-1.15829097,0.266878968,0.617796007,-5.379686294,36.75554333,32.194998,-0.191125288
Tmem97,-0.19116673,7.401007003,-1.648574863,0.122361735,0.455215766,-4.778849895,188.6726,165.25778,-0.19116673
Osbpl9,-0.19117048,5.469762127,-2.34293864,0.035079149,0.321421283,-3.719242826,45.37072,39.739978,-0.19117048
Mbnl1,-0.191182376,3.085379303,-1.860004695,0.084868564,0.408636765,-4.477195461,7.620377,6.6745936,-0.191182376
Apoa4,-0.191234638,7.402646325,-0.918453164,0.374542659,0.698021244,-5.611928689,180.9573333,158.49254,-0.191234638
Gpat4,-0.191249613,6.254990997,-1.564397341,0.140917543,0.480256843,-4.892523135,83.03322333,72.72438,-0.191249613
Pds5b,-0.191299867,2.342190941,-1.28778277,0.219516471,0.572265174,-5.236273245,4.396221667,3.8502824,-0.191299867
Slc43a3,-0.191359075,3.986385696,-0.782637833,0.447387222,0.749027317,-5.722582848,16.70600467,14.63079,-0.191359075
Hexim1,-0.1914523,5.061171761,-1.719887254,0.108342482,0.438610404,-4.679577835,36.99570667,32.398018,-0.1914523
Phc2,-0.191542331,3.200032393,-1.308176478,0.212707409,0.564651202,-5.212614954,9.249689667,8.0996672,-0.191542331
Unc119,-0.191676633,2.317476517,-0.736752638,0.473915988,0.764133397,-5.756352549,4.547473,3.9817108,-0.191676633
Tgm1,-0.191732426,4.715520584,-0.441566513,0.665811729,0.865080932,-5.927534375,29.306519,25.6594312,-0.191732426
Rad1,-0.19183239,1.288115191,-0.895494234,0.386253162,0.708445365,-5.631734631,1.5477075,1.35500714,-0.19183239
E2f4,-0.191899119,4.765035011,-1.72157564,0.108028415,0.438610404,-4.677195804,29.91035,26.185092,-0.191899119
Il17rb,-0.192049131,2.626108135,-1.408912274,0.181535912,0.52894094,-5.091685423,5.221628667,4.5708128,-0.192049131
Smad4,-0.192049425,4.270732324,-1.214010072,0.245609789,0.599515554,-5.319445266,20.24560233,17.7222176,-0.192049425
Capza2,-0.192059445,4.51783739,-1.574545275,0.138559398,0.476500953,-4.879028408,23.42082,20.501538,-0.192059445
Ogfod3,-0.1920802,3.334607235,-1.236353123,0.237461826,0.59048064,-5.294659834,9.673455333,8.4675882,-0.1920802
Exoc5,-0.192086801,1.850491596,-1.227135104,0.240797298,0.594421288,-5.304928574,2.794179333,2.4458532,-0.192086801
Mbd5,-0.19225351,0.956400282,-0.872524299,0.398216109,0.714975626,-5.651107477,1.054277267,0.92274302,-0.19225351
Tbc1d20,-0.192268797,4.531018396,-1.72566635,0.1072708,0.438610404,-4.671418544,25.19070667,22.047618,-0.192268797
H2-D1,-0.19226899,9.293529717,-2.064850333,0.058753675,0.364341305,-4.165849806,695.6680667,608.86826,-0.19226899
Hcfc2,-0.192273561,2.670971144,-1.220375392,0.243266535,0.597693198,-5.31242039,6.061899333,5.305528,-0.192273561
Reps2,-0.192362053,3.483851607,-1.023474273,0.324122006,0.661302165,-5.515813179,11.614548,10.1647234,-0.192362053
Depdc5,-0.192488196,1.723580988,-0.916291121,0.375634906,0.699667984,-5.613812563,2.679587,2.3448936,-0.192488196
Manba,-0.192506445,2.967389463,-1.086339086,0.296396137,0.641056304,-5.454071423,7.834201667,6.8555852,-0.192506445
Sstr2,-0.192517498,1.610544558,-0.443522,0.664432039,0.86454748,-5.926671193,1.492458733,1.30601688,-0.192517498
Cd84,-0.192587278,1.100175279,-0.692480961,0.500405256,0.77912441,-5.787155923,1.213500433,1.06185542,-0.192587278
Nav1,-0.192607599,0.733792423,-0.515211699,0.6147595,0.841346996,-5.892486411,0.7325745,0.64101934,-0.192607599
ND1,-0.192729613,13.45939693,-1.385763783,0.188344843,0.538212468,-5.12006081,11855.38333,10372.8526,-0.192729613
Parp14,-0.192830628,3.456051029,-0.87371969,0.397587457,0.714649455,-5.650110272,10.43209133,9.126906,-0.192830628
Ing2,-0.192851201,2.488212443,-1.181256294,0.257946879,0.610275242,-5.355131326,5.064910333,4.4311634,-0.192851201
Ppp2r5b,-0.192862042,2.731160894,-1.069728652,0.303544903,0.645317349,-5.470684075,6.541292,5.7227698,-0.192862042
Msl2,-0.192898357,3.635924342,-1.384504497,0.188721196,0.538836651,-5.121594567,12.51168367,10.9458014,-0.192898357
Alkbh1|Nrp,-0.192904075,1.980734051,-0.751060065,0.465542002,0.759156221,-5.746022834,3.553804333,3.1090206,-0.192904075
Tex10,-0.192929218,2.14525665,-0.885075912,0.391648552,0.710440953,-5.64057656,3.617410667,3.164611,-0.192929218
Pygb,-0.193023766,1.470680273,-0.477258574,0.640832236,0.854277049,-5.911198468,2.038232333,1.78298522,-0.193023766
Gm18258,-0.193193378,0.627037342,-0.414707778,0.684887709,0.874960672,-5.939015261,0.591486033,0.51735362,-0.193193378
Snx5,-0.193343985,4.553637666,-1.6409972,0.123940613,0.45635606,-4.789241553,23.79456667,20.810162,-0.193343985
Rest,-0.193505568,2.880560498,-1.330965965,0.205300591,0.557812676,-5.185843916,7.038056,6.154627,-0.193505568
Actr2,-0.193535871,5.433740113,-1.794128287,0.095270432,0.422558023,-4.57350639,45.81614333,40.06438,-0.193535871
Zfp821,-0.193592194,0.952242568,-0.738944649,0.472627065,0.763405469,-5.754781771,1.006043533,0.87971038,-0.193592194
Zfp384,-0.193607979,3.833582458,-1.92254201,0.075951933,0.39413694,-4.383971864,14.66177333,12.820492,-0.193607979
Dusp19,-0.193703739,1.817481233,-1.068880878,0.303913164,0.645777523,-5.471526247,2.740259,2.3959678,-0.193703739
Dgkd,-0.193741631,3.084886106,-0.937462536,0.365033579,0.691078257,-5.595198276,8.437097,7.3768508,-0.193741631
Prrc2a,-0.193800128,5.908088453,-1.277094223,0.223154205,0.575968472,-5.24855898,67.22760333,58.777076,-0.193800128
Zfp972,-0.193928913,2.639145726,-0.886221559,0.391052765,0.710302971,-5.639608729,6.946093,6.0724252,-0.193928913
Tspan4,-0.193977187,6.805045895,-1.231952734,0.239049513,0.592723895,-5.299569325,125.6092967,109.806698,-0.193977187
Ubac2,-0.194023028,4.805552776,-2.633540595,0.020164707,0.283368463,-3.23077582,30.31066,26.496508,-0.194023028
Ctnnd1,-0.19411393,2.627020452,-1.95141336,0.072129586,0.389319327,-4.340372033,5.34523,4.6723168,-0.19411393
Rwdd4a,-0.194212533,4.148786681,-2.342262809,0.035123812,0.321421283,-3.720356017,17.80629333,15.563588,-0.194212533
Usp39,-0.194406552,4.396809683,-1.391711061,0.186575749,0.535796515,-5.112803451,22.60584,19.755974,-0.194406552
Plekhf2,-0.194429574,3.460614208,-1.090164282,0.294767769,0.639694157,-5.450215636,11.03811567,9.646412,-0.194429574
Tead3,-0.194446646,3.198664798,-1.418668841,0.178727656,0.525921686,-5.079623493,9.381267333,8.1983648,-0.194446646
Zfp628,-0.194604934,3.10079713,-1.577471495,0.137885731,0.475337034,-4.875126282,9.215849,8.0529208,-0.194604934
Cnih1,-0.19467995,5.693254252,-2.704680917,0.017580012,0.273939086,-3.108710769,54.64412333,47.746216,-0.19467995
Pigg,-0.194702819,2.703201565,-1.655578912,0.12091797,0.453602332,-4.769217582,6.067252,5.3012788,-0.194702819
Sec31a,-0.194751627,5.961006356,-1.916125057,0.076826108,0.395936471,-4.393615031,68.61079,59.946846,-0.194751627
Cd47,-0.194874135,4.517599394,-1.838962156,0.088074639,0.412480198,-4.508175692,23.54896,20.573528,-0.194874135
Slc22a3,-0.194956375,1.937383976,-0.775221763,0.451610188,0.751577752,-5.728166706,2.812112333,2.4566594,-0.194956375
Prpf40a,-0.194996862,3.461186981,-1.486161044,0.160274139,0.50366327,-4.994558457,10.326259,9.0207596,-0.194996862
Ythdc1,-0.195006205,2.753281208,-2.036637042,0.061848418,0.369873245,-4.209716904,6.245975,5.456291,-0.195006205
Sec23ip,-0.195025358,3.193032014,-1.122323231,0.281341568,0.62930788,-5.417358171,9.061385,7.9156412,-0.195025358
Sms,-0.195043377,1.349639569,-1.11741092,0.283362036,0.629831537,-5.422427953,1.794873067,1.56790532,-0.195043377
Ttll5,-0.195119931,1.219290725,-0.848128443,0.411191345,0.723411075,-5.671193451,1.540166767,1.3453361,-0.195119931
Cry1,-0.195126991,2.895599321,-0.970078721,0.349112477,0.681185224,-5.565799909,7.780962667,6.7966398,-0.195126991
Zkscan14,-0.195248759,1.852236511,-1.202705666,0.249814676,0.603242175,-5.331849336,2.779034667,2.4272708,-0.195248759
Ago1,-0.195311229,3.346628173,-1.062566578,0.306666417,0.647693972,-5.477781284,10.22596667,8.9312004,-0.195311229
Hacd1,-0.195334439,2.475607548,-1.18775459,0.255461803,0.608701181,-5.348113109,4.742424,4.1418928,-0.195334439
Canx,-0.19533651,7.426099722,-1.850591563,0.086289558,0.410180518,-4.491078764,184.9126667,161.49702,-0.19533651
Rabgap1,-0.195461235,1.978842197,-1.124653266,0.280387025,0.628819887,-5.414947081,3.266276333,2.8524184,-0.195461235
Hnrnpm,-0.195540845,5.585247037,-2.428690192,0.029830376,0.311157347,-3.57705597,49.43450333,43.168456,-0.195540845
Erc1,-0.195555132,2.367896849,-0.912540832,0.377534717,0.701630707,-5.617071115,4.708812667,4.1119086,-0.195555132
Ssh3,-0.195746715,3.947536288,-1.23066967,0.239514019,0.593069054,-5.300998248,16.04516,14.009364,-0.195746715
Eloa,-0.195749422,4.20666861,-1.250591891,0.232381247,0.585365845,-5.278679977,19.37373667,16.915582,-0.195749422
Brca1,-0.195916009,0.95744645,-0.534604698,0.601640573,0.834055235,-5.882395206,1.008922567,0.88080798,-0.195916009
Bend7,-0.195925379,2.733384834,-1.178531339,0.258994499,0.611071881,-5.358065133,6.457374,5.6373698,-0.195925379
Sdc2,-0.195955753,6.670190292,-2.488722046,0.026612019,0.301580363,-3.47647527,109.1647,95.300168,-0.195955753
Csnk1g1,-0.195997919,1.037094919,-0.693828939,0.499585962,0.77912441,-5.786244073,1.103677067,0.9634757,-0.195997919
Ilf2,-0.196093974,2.340236171,-1.431662956,0.175043525,0.521331498,-5.063465731,4.38299,3.825959,-0.196093974
Ccdc51,-0.196106422,3.930278017,-0.873351607,0.397780959,0.714680916,-5.650417459,15.17183833,13.2435462,-0.196106422
Pex13,-0.196150891,4.275883033,-2.056786695,0.059623268,0.365736741,-4.178417505,19.62154333,17.12718,-0.196150891
Cpn1,-0.19616586,7.799286721,-2.431627665,0.029664578,0.311157347,-3.572153481,246.1813333,214.88362,-0.19616586
Tfrc,-0.196193507,3.402788007,-1.068613893,0.304029207,0.64577817,-5.471791352,11.46637333,10.0084298,-0.196193507
Raly,-0.196227639,5.058347774,-2.604033821,0.021341837,0.288262619,-3.28115726,36.09028,31.500674,-0.196227639
Mycbp,-0.196308684,3.163799077,-1.779423569,0.097742317,0.425522142,-4.594728279,8.55871,7.469878,-0.196308684
Hc,-0.196407625,9.302634113,-1.102265314,0.28966043,0.635235603,-5.437944075,682.4312667,595.57208,-0.196407625
Senp1,-0.196409267,1.586546601,-1.026912465,0.322558372,0.659693902,-5.512516474,2.253964667,1.96708,-0.196409267
Lsm12,-0.196491008,4.632857155,-1.909490315,0.077739543,0.396210882,-4.403567137,25.90552,22.606984,-0.196491008
S100pbp,-0.196635596,2.522518572,-1.108300729,0.287138075,0.63256622,-5.431781877,5.086753,4.4386146,-0.196635596
Zfp408,-0.196685425,2.523974727,-1.313459662,0.210971428,0.56357451,-5.206439919,5.447549333,4.7532752,-0.196685425
Btbd1,-0.1966869,4.50364053,-2.291864486,0.038610684,0.325306064,-3.803022244,24.05567667,20.98983,-0.1966869
Gm9294,-0.196690232,0.360673827,-0.112372426,0.912186282,0.966460724,-6.019132727,0.3826595,0.33388956,-0.196690232
Gdi1,-0.196754549,5.467063,-2.246993299,0.041988273,0.337405489,-3.876022118,48.89765667,42.66375,-0.196754549
Sgms1,-0.196878621,1.822491386,-1.100313268,0.290479789,0.636412543,-5.439931193,2.844086333,2.4812836,-0.196878621
Hnrnpdl,-0.197243767,4.849497037,-1.719107113,0.108487873,0.438610404,-4.680678,29.83007,26.018244,-0.197243767
Slc22a27,-0.197271649,0.416068011,-0.284009958,0.780723559,0.916192557,-5.984805923,0.3696522,0.32241008,-0.197271649
4930503L19Rik,-0.197322087,1.285118209,-0.460976362,0.652173746,0.859996005,-5.918802945,1.513742933,1.3202381,-0.197322087
Adam17,-0.197368149,2.888537592,-1.260669756,0.228837548,0.581410469,-5.267283738,7.177605333,6.2598776,-0.197368149
Dnaja4,-0.197443713,2.179659901,-1.06783022,0.304370015,0.645964018,-5.472569189,4.173068667,3.63931,-0.197443713
Bbc3,-0.197575105,3.075696189,-0.930811289,0.368341477,0.693227243,-5.601086126,7.035428333,6.1349992,-0.197575105
Gng5,-0.19759014,5.189813964,-2.16653759,0.048750587,0.348546212,-4.005392086,38.94257667,33.958158,-0.19759014
Gnb1,-0.197600622,5.216841178,-1.898973367,0.079207644,0.398550811,-4.419304046,39.66943333,34.59173,-0.197600622
Gatad2b,-0.197615758,2.703505921,-1.563079073,0.141226386,0.481006442,-4.894271872,5.858088,5.1081968,-0.197615758
Pole3,-0.197812517,4.58430906,-2.401129027,0.031429732,0.312381798,-3.622954279,25.07755,21.864402,-0.197812517
Glce,-0.197826508,3.047399761,-0.95276167,0.357503477,0.686551232,-5.581516904,7.787213333,6.7893838,-0.197826508
Bmp1,-0.197917482,5.300331657,-1.667467215,0.11850137,0.45142376,-4.75280862,40.80044667,35.57016,-0.197917482
Ube2d3,-0.197993512,4.477693793,-2.468439796,0.027660197,0.30378609,-3.510547554,22.76098333,19.842164,-0.197993512
Rsl1d1,-0.198008707,5.142753442,-2.244623598,0.042174173,0.337405489,-3.879860961,35.92417667,31.317008,-0.198008707
Ltb4r1,-0.198024391,1.508470565,-0.180886555,0.859151193,0.948609462,-6.008976023,2.038568567,1.7771089,-0.198024391
Tagap1,-0.198044585,3.669433511,-1.45919899,0.167444943,0.51171752,-5.028877337,12.18068367,10.6182832,-0.198044585
Gatad1,-0.198078454,4.755593601,-2.131264858,0.052025504,0.35398078,-4.061453629,28.51204667,24.85426,-0.198078454
Ufm1,-0.198087662,4.419498768,-1.789980921,0.095961908,0.422981556,-4.579502302,21.90033333,19.090636,-0.198087662
Agap1,-0.198217606,1.460589411,-1.191023916,0.254218577,0.607126823,-5.344570584,2.151393333,1.875212,-0.198217606
Dhdds,-0.198241696,4.353879425,-1.463821335,0.166196831,0.510519793,-5.023025239,21.45601667,18.701326,-0.198241696
Ncdn,-0.198321572,3.685800263,-1.222323444,0.242552911,0.596952981,-5.310264699,13.19590767,11.5010774,-0.198321572
Klhl9,-0.198372567,4.50924439,-1.950225056,0.072283386,0.389319327,-4.342173343,22.88847667,19.948066,-0.198372567
Ulk1,-0.198507277,5.584769261,-0.860383202,0.404638838,0.718878756,-5.661167001,53.63778667,46.742744,-0.198507277
Zfp984,-0.198677374,1.177469269,-0.803739112,0.43550901,0.739286236,-5.706431388,1.257437267,1.09566674,-0.198677374
Map3k11,-0.198824942,5.171270374,-1.325014808,0.207214363,0.55999145,-5.192868494,40.92053333,35.65242,-0.198824942
Itpr1,-0.19887554,3.445468288,-1.127457619,0.279241421,0.62817813,-5.412039753,11.17726533,9.7379616,-0.19887554
